City,Brand,Body,Price[1000Eur],1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty,URL
münchen,bmw,kleinwagen,9.700,134.2,170,2014,Benzin,Schaltgetriebe,Händler,,Ja,https://www.autoscout24.de/angebote/bmw-118-i-klima-pdc-sitzh-start-stop-euro-6-benzin-blau-6dc4195c-77c1-4c24-ac0b-39e93803aaf5
münchen,bmw,kleinwagen,13.290,172.195,184,2014,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-x1-xdrive20d-sport-pano-navi-xenon-2-0-l-135-kw-1-diesel-silber-3e9481e4-72b1-4da8-b5bb-efaea73e00af
münchen,bmw,kleinwagen,14.450,96.196,170,2014,Benzin,Schaltgetriebe,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-118-i-lim-3-trg-f21-benzin-weiss-01787ec4-22ae-44f4-8f89-be60dc95b353
münchen,bmw,kleinwagen,13.999,113.0,150,2018,Diesel,Schaltgetriebe,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-118-d-advantage-lim-3-trg-navi-led-hifi-pdc-diesel-schwarz-511f4077-945f-4559-835c-8ab19af6bcbb
münchen,bmw,kleinwagen,17.990,107.0,116,2020,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/bmw-216-216d-gran-tourer-aut-advantage-diesel-silber-e54204e6-0589-4d5c-97f8-2bf2f5e26956
münchen,bmw,kleinwagen,16.697,63.0,170,2014,Elektro,-,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-i3-aut-navi-prof-park-ass-kamera-dab-shz-elektro-grau-ae5fb4f2-8f06-47d0-a1cd-9918d153d66e
münchen,bmw,kleinwagen,15.399,100.5,136,2017,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-218-sport-line-navi-ahk-shz-pdc-benzin-weiss-4c7e1f08-ee79-42d7-9cb9-dc1d5e4c4498
münchen,bmw,kleinwagen,15.999,171.0,184,2015,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-120-d-xdrive-lim-3-trg-f21-diesel-schwarz-f672846a-632e-4f72-a450-72aed7ece348
münchen,bmw,kleinwagen,16.990,57.0,136,2018,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-1lim-5-trg-118i-navigation-tempo-2xpdc-2z-klima-benzin-blau-d64369a0-bd56-4810-b07c-8b88103d6226
münchen,bmw,kleinwagen,24.900,22.5,170,2019,Elektro,300 km,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-i3-120ah-4-14-finanzierung-h-k-adapt-led-rfk-wp-elektro-blau-b690410f-91f7-4e60-9474-57d58ce433ca
münchen,bmw,kleinwagen,23.880,37.9,170,2019,Elektro,300 km,Händler,2,12 Monate,https://www.autoscout24.de/angebote/bmw-i3-120ah-loft-4-14-fin-pano-dr-ass-plus-rfk-99-soh-elektro-schwarz-22dad1a6-a5c5-4ff1-ae85-4908df269452
münchen,bmw,kleinwagen,24.900,26.0,170,2019,Elektro,-,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-i3-120-ah-125kw-sport-comfort-paket-elektro-weiss-d5f5d2ba-6f71-4aad-87fc-1afd99038614
münchen,bmw,kleinwagen,22.990,55.36,170,2019,Elektro,-,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-i3-120-ah-navi-prof-20-felgen-elektro-1f7ffebc-6302-4bd3-86df-327ea90800e0
münchen,bmw,kleinwagen,23.450,49.0,170,2019,Elektro,-,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-i3-120-ah-125kw-navi-prof-kamera-led-elektro-weiss-d38f6cbb-9e87-4ae7-ba15-430b852e2f40
münchen,bmw,kleinwagen,22.990,4.36,109,2021,Benzin,Schaltgetriebe,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-116-baureihe-dab-led-klimaaut-advantage-benzin-weiss-ed524b9a-fa76-424a-9271-2490b2c13e6e
münchen,bmw,kleinwagen,20.870,33.0,170,2017,Elektro,-,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-i3-60ah-1-hand-navi-led-acc-19-zoll-rfk-shz-bt-elektro-schwarz-80b407de-eaf2-4387-bcb5-02eab2f1bdb0
münchen,bmw,kleinwagen,23.499,19.3,102,2021,Elektro,-,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-i3-baureihe-i3-120ah-tempomat-dab-shz-elektro-blau-a50739fd-ffc1-4380-8f6e-31d4e587aef8
münchen,bmw,kleinwagen,23.800,41.8,184,2018,Elektro,-,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-i3-s-sport-dr-as-prof-led-navi-prof-elektro-grau-228e55f5-b46a-4c95-8f7e-a9d9b90b4e9f
münchen,bmw,kleinwagen,23.490,44.0,116,2020,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-116-1lim-116d-led-navigation-tempomat-2xpdc-shz-diesel-schwarz-a451306d-9a4f-4534-8e2f-b7665ee45d2c
münchen,bmw,kleinwagen,24.990,26.953,170,2018,Elektro,-,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-i3-baureihe-i3-pano-ssd-wi-raed-leder-navi-kamera-elektro-grau-1ffffca0-9a45-4d1d-ae01-2f44a18ac350
münchen,bmw,kleinwagen,23.990,77.0,170,2019,Elektro,307 km,Privat,1,nan,https://www.autoscout24.de/angebote/bmw-i3-i3-120-ah-elektro-blau-f5c63f75-bd04-4adf-a242-c8634922b814
münchen,bmw,kleinwagen,21.800,34.5,140,2020,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-118i-advantage-navi-klimaauto-pdc-benzin-blau-504eb1e2-4c33-4dbe-a962-b5188bc55e15
münchen,bmw,kleinwagen,22.990,23.0,140,2020,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-1lim-118i-navigation-tempo-16-alu-pdc-shz-wlan-benzin-schwarz-d9c38754-e86f-4705-9583-4edc323ee465
münchen,bmw,kleinwagen,24.990,51.5,140,2020,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-1lim-118i-m-sport-led-navi-hud-livecockpit-pdc-benzin-weiss-500f3aca-0286-40da-856b-92aa51779369
münchen,bmw,kleinwagen,24.290,12.3,140,2020,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-1lim-118i-led-navi-panorama-kamera-tempo-16-alu-benzin-grau-2e268fea-325a-4f18-a5b3-bf740d17cc40
münchen,bmw,kleinwagen,26.499,38.0,184,2019,Elektro,-,Händler,,Ja,https://www.autoscout24.de/angebote/bmw-i3-s-led-kamera-h-k-pdc-20-elektro-blau-b070800b-518c-4b3d-b175-b18150459ca9
münchen,bmw,kleinwagen,29.300,16.0,184,2020,Elektro,-,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-135kw-komfortzugang-applecarplay-elektro-schwarz-28cd6ef5-25d7-4700-acac-e028d81adcb2
münchen,bmw,kleinwagen,29.450,17.8,150,2021,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-118-d-sport-line-3-5-j-garantie-diesel-schwarz-6e3cf972-268e-4ee1-b6b5-25a3d9d9d241
münchen,bmw,kleinwagen,29.999,28.4,184,2020,Elektro,-,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-i3-s-120ah-lodge-acc-dab-led-navi-prof-elektro-schwarz-a452f081-9eb2-44a1-bac5-c1ad613a243b
münchen,bmw,kleinwagen,25.990,43.25,170,2021,Elektro,-,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-i3-120ah-sportpaket-schnelladen-dab-nav-prof-elektro-weiss-f261d0f3-5321-48db-81e3-e92037b4c221
münchen,bmw,kleinwagen,27.990,11.4,170,2020,Elektro,-,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-i3-1-hd-11-400-km-navi-prof-park-assistent-led-licht-elektro-weiss-864f29aa-4699-4479-b885-711c3fb84402
münchen,bmw,kleinwagen,25.990,37.5,140,2020,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-1lim-118i-m-sport-led-navi-tempomat-18-shz-pdc-benzin-weiss-75abaae3-cbab-475d-9c8d-dc2b79c2f9ac
münchen,bmw,kleinwagen,31.999,11.7,184,2020,Elektro,-,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-i3-s-120ah-suite-nw-55-200--elektro-blau-172b6a5d-4ece-4b71-bb5e-f081d01aee47
münchen,bmw,kleinwagen,31.700,2.1,184,2022,Elektro,-,Händler,,nan,https://www.autoscout24.de/angebote/bmw-i3-s-120ah-leder-drivprof-navi-kamera-dab-led-elektro-schwarz-70d397a3-a34e-4deb-92ad-8241f42484b0
münchen,bmw,kleinwagen,30.999,24.0,170,2022,Elektro,-,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-i3-basis-led-acc-kamera-navi-24000km-elektro-grau-dafdfa51-40e7-4a5e-9db8-28e8d3ec2c0f
münchen,bmw,kleinwagen,31.800,19.9,184,2021,Elektro,-,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-acc-adaptive-led-navi-prof-elektro-schwarz-58c69356-8440-4027-a6bd-ffc39446ca30
münchen,bmw,kleinwagen,34.900,12.8,136,2022,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/bmw-118-i-m-sportpaket-m-sportsitze-benzin-schwarz-98b0d46c-79d6-4fb4-aa7b-1b9cf20eed17
münchen,bmw,kleinwagen,32.999,28.4,184,2020,Elektro,-,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-edition-road-style-elektro-schwarz-8c1ec149-df8e-41e9-baa2-f01e86a74a1c
münchen,bmw,kombi,9.400,215.0,143,2015,Diesel,Schaltgetriebe,Händler,3,nan,https://www.autoscout24.de/angebote/bmw-318-d-touring-el-heckklappe-klimaautom-tel-vorb-reg-diesel-grau-17c963bd-7081-493c-bdec-442f148ed06b
münchen,bmw,kombi,9.990,180.5,184,2013,Diesel,Schaltgetriebe,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-320-d-touring-navi-mfl-pdc-euro-5-dpf-diesel-schwarz-fd61dd77-c55b-4e16-b8a3-a489b4860560
münchen,bmw,kombi,9.750,248.0,184,2013,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-320-d-touring-aut-steuerkette-neu-navi-xenon-diesel-weiss-5f872ada-044f-43b7-94b2-b23b0543931c
münchen,bmw,kombi,10.000,213.5,143,2014,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-sport-line-diesel-schwarz-0dbf249f-740b-4815-8406-fbc010cf01cf
münchen,bmw,kombi,7.990,208.0,116,2013,Diesel,Schaltgetriebe,Händler,3,nan,https://www.autoscout24.de/angebote/bmw-316-d-touring-pdc-tempomat-sitzheizg-tuev-03-2025-diesel-schwarz-5fb5d4c0-b050-4354-88d0-48c43dc7c270
münchen,bmw,kombi,9.890,212.4,184,2014,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-320-320d-sport-line-automatik-head-up-xenon-navi-diesel-schwarz-1d9d747d-983c-46bd-a571-fbd7f5c90175
münchen,bmw,kombi,9.699,206.434,143,2013,Diesel,Schaltgetriebe,Privat,,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-diesel-silber-56836e69-13db-4a85-8303-451c624db7e6
münchen,bmw,kombi,9.999,255.0,143,2013,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-diesel-silber-9045e3fc-3252-4dd9-8908-39df749d7411
münchen,bmw,kombi,10.000,203.0,143,2014,Diesel,Schaltgetriebe,Privat,,nan,https://www.autoscout24.de/angebote/bmw-318-318d-xdrive-touring-diesel-6902db96-0bf3-4863-bfb9-74202ba9c9c7
münchen,bmw,kombi,7.990,219.0,163,2013,Diesel,Schaltgetriebe,Privat,,nan,https://www.autoscout24.de/angebote/bmw-320-d-efficientdynamics-edition-touring-f31-tuev-neu-diesel-rot-36b450d5-d5f8-4c92-8c7e-21cdb11b427f
münchen,bmw,kombi,13.290,172.195,184,2014,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-x1-xdrive20d-sport-pano-navi-xenon-2-0-l-135-kw-1-diesel-silber-3e9481e4-72b1-4da8-b5bb-efaea73e00af
münchen,bmw,kombi,14.999,148.0,150,2016,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-318-d-touring-automatik-head-up-euro-6-diesel-grau-77d5669b-6faf-4d70-97ea-36d3b433a895
münchen,bmw,kombi,13.999,202.0,218,2014,Diesel,Automatik,Händler,3,nan,https://www.autoscout24.de/angebote/bmw-325-d-touring-sport-line-sag-h-k-pano-diesel-weiss-701abf7e-c10e-4f89-9eff-4d8dfb5576e0
